ID;Size;Model;y_obs;y_hat;Res
2;0.098;1;1.05194E-14;0.03900095;-0.03900095
2;0.085;1;1.05194E-14;0.031817727;-0.031817727
2;0.074;1;1.05194E-14;0.026096044;-0.026096044
2;0.0645;1;1.05194E-14;0.021439406;-0.021439406
2;0.056;1;1.05194E-14;0.017515222;-0.017515222
2;0.049;1;1.05194E-14;0.014469404;-0.014469404
2;0.043;1;1.05194E-14;0.012003066;-0.012003066
2;0.0375;1;1.05194E-14;0.009868594;-0.009868594
2;0.0325;1;1.05194E-14;0.008041525;-0.008041525
2;0.028;1;1.05194E-14;0.006497292;-0.006497292
2;0.0245;1;1.05194E-14;0.005367339;-0.005367339
2;0.0215;1;1.05194E-14;0.004452397;-0.004452397
2;0.0185;1;1.05194E-14;0.003590957;-0.003590957
2;0.016;1;1.05194E-14;0.002917394;-0.002917394
2;0.014;1;1.05194E-14;0.002410011;-0.002410011
2;0.012;1;1.05194E-14;0.001932991;-0.001932991
2;0.0105;1;1.05194E-14;0.001596809;-0.001596809
3;170.2295;1;100;94.40202288;5.597977116
3;148.2635;1;99.75;93.26090275;6.489097253
3;129.132;1;98.96;91.90711721;7.052882791
3;112.4695;1;97.7;90.30967014;7.390329859
3;97.957;1;95.79;88.43657075;7.353429251
3;85.317;1;93.2;86.25648462;6.943515376
3;74.308;1;89.9;83.74094162;6.159058381
3;64.7195;1;85.95;80.8670756;5.082924396
3;56.3685;1;81.43;77.62109014;3.808909862
3;49.095;1;76.47;74.00142191;2.468578086
3;42.76;1;71.22;70.02237525;1.197624753
3;37.2425;1;65.84;65.71652574;0.123474255
3;32.437;1;60.48;61.13553125;-0.655531254
3;28.2515;1;55.25;56.34892412;-1.098924123
3;24.606;1;50.25;51.44093311;-1.190933114
3;21.431;1;45.54;46.50514939;-0.965149393
3;18.6655;1;41.15;41.63653874;-0.486538736
3;16.257;1;37.09;36.9260715;0.163928505
3;14.1595;1;33.35;32.4526831;0.897316901
3;12.3325;1;29.92;28.27796862;1.642031382
3;10.741;1;26.77;24.445347;2.324653004
3;9.355;1;23.89;20.98052458;2.90947542
3;8.148;1;21.25;17.89090608;3.359093922
3;7.0965;1;18.83;15.1683332;3.661666797
3;6.1805;1;16.61;12.79500047;3.814999525
3;5.383;1;14.57;10.74664947;3.823350525
3;4.6885;1;12.7;8.992640898;3.707359102
3;4.0835;1;10.97;7.500603761;3.469396239
3;3.5565;1;9.37;6.238988639;3.131011361
3;3.0975;1;7.88;5.177672802;2.702327198
3;2.698;1;6.5;4.289209467;2.210790533
3;2.35;1;5.22;3.54744527;1.67255473
3;2.0465;1;4.05;2.929264127;1.120735873
3;1.7825;1;3;2.416683475;0.583316525
3;1.5525;1;2.09;1.99185564;0.09814436
3;1.352;1;1.33;1.640149764;-0.310149764
3;1.1775;1;0.74;1.349861792;-0.609861792
3;1.0255;1;0.32;1.110337237;-0.790337237
3;0.8935;1;0.09;0.913470468;-0.823470468
3;0.778;1;0.01;0.750571294;-0.740571294
3;0.6775;1;0.01;0.616631342;-0.606631342
3;0.5905;1;0.01;0.507103859;-0.497103859
3;0.5145;1;0.01;0.4167508;-0.4067508
3;0.448;1;0.01;0.342134319;-0.332134319
3;0.39;1;0.01;0.280741926;-0.270741926
3;0.3395;1;0.01;0.23033164;-0.22033164
3;0.2955;1;0.01;0.188920217;-0.178920217
3;0.2575;1;0.01;0.155198707;-0.145198707
3;0.2245;1;0.01;0.127580721;-0.117580721
